 531| | 53|chi |Cet|01 49 35.0|-10 41 11| 21.35|-20.49|   77| 4.68|F3III              | 2
 539| | 55|zet |Cet|01 51 27.5|-10 20 06| 21.95|-20.33|  271| 3.72|K0IIIBa0.1         | 2
 542| | 45|eps |Cas|01 54 23.6|+63 40 13| 54.76| 47.55|  465| 3.37|B3III              |
 544| |  2|alf |Tri|01 53 04.8|+29 34 44| 36.86| 16.80|   65| 3.42|F6IV               | 3
 545| |  5|gam1|Ari|01 53 31.7|+19 17 45| 33.18|  7.16|  217| 4.83|B9V                | 3
 546| |  5|gam2|Ari|01 53 31.8|+19 17 37| 33.18|  7.16|  217| 4.75|A1pSi              | 3
 548| | 46|omg |Cas|01 55 59.9|+68 41 07| 59.15| 51.69|  512| 4.99|B8III              |
 549| |111| xi |Psc|01 53 33.3|+03 11 15| 27.52| -7.92|  191| 4.63|K0III              |
 553| |  6|bet |Ari|01 54 38.3|+20 48 29| 33.97|  8.49|   60| 2.65|A5V                |
 555| |   |psi |Phe|01 53 38.7|-46 18 10|  1.32|-52.57|  326| 4.41|M4III              |
 565| | 56|    |Cet|01 56 40.1|-22 31 36| 17.91|-32.04|  407| 4.85|K4III              |
 566| |   |chi |Eri|01 55 57.4|-51 36 32|356.25|-57.02|   57| 3.70|G8IIIbCNIV         | 2
 569| |  9|lam |Ari|01 57 55.7|+23 35 46| 35.69| 10.83|  135| 4.79|F0V                | 4
 570| |   |eta2|Hyi|01 54 56.1|-67 38 51|329.03|-67.11|  217| 4.69|G8III-IV           |
 574| |   |    |   |01 57 10.0|-47 23 06|  1.09|-53.80|  271| 4.82|G8III              |
 575| | 48|    |Cas|02 01 57.3|+70 54 26| 61.91| 53.23|  120| 4.54|A3IV               | 4
 580| | 50|    |Cas|02 03 26.0|+72 25 17| 63.56| 54.39|  163| 3.98|A2V                |
 585| | 59|ups |Cet|02 00 00.2|-21 04 40| 19.43|-31.03|  326| 4.02|M0.5IIIBa0.2       |
 591| |   |alf |Hyi|01 58 46.2|-61 34 12|342.12|-64.24|   72| 2.86|F0V                |
 596| |113|alf |Psc|02 02 02.7|+02 45 49| 29.38| -9.06|  141| 4.33|A0pSiSr            | 2
